file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [12-Apr-2025 05:25:40 UTC] PHP Warning:  Undefined array key "action" in /wordpress/wp-content/plugins/wp-database-optimizer/wp_database_optimizer.php on line 12
#1 /wordpress/wp-includes/widgets.php(123): WP_Widget_Factory->register('sfstst_widget')
#2 /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php(495): register_widget('sfstst_widget')
#3 /wordpress/wp-includes/class-wp-hook.php(324): widget_sfstst_init('')
#4 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#5 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#6 /wordpress/wp-includes/widgets.php(1870): do_action('widgets_init')
#7 /wordpress/wp-includes/class-wp-hook.php(324): wp_widgets_init('')
#8 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters(NULL, Array)
#9 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#10 /wordpress/wp-settings.php(704): do_action('init')
#11 /wordpress/wp-config.php(102): require_once('/wordpress/wp-s...')
#12 /wordpress/wp-load.php(50): require_once('/wordpress/wp-c...')
#13 /internal/eval.php(3): require_once('/wordpress/wp-l...')
#14 {main}
  thrown in /wordpress/wp-includes/class-wp-widget.php on line 163
[12-Apr-2025 05:35:31 UTC] PHP Warning:  Undefined variable $wp_version in /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php on line 444
[12-Apr-2025 05:35:31 UTC] PHP Deprecated:  Function supports_collation is <strong>deprecated</strong> since version 3.5.0! Use wpdb::has_cap( 'collation' ) instead. in /wordpress/wp-includes/functions.php on line 6114
[12-Apr-2025 05:35:31 UTC] PHP Warning:  Undefined variable $charset_collate in /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php on line 117
[12-Apr-2025 05:35:31 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>ALTER TABLE wp_testimonials ADD `storder` INT( 5 ) NOT NULL ;</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: INSERT INTO _mysql_data_types_cache (`table`, `column_or_index`, `mysql_type`)
				VALUES (:table, :column, :datatype)
				ON CONFLICT(`table`, `column_or_index`) DO UPDATE SET `mysql_type` = :datatype
			 | parameters: wp_testimonials, `STORDER`, int(5)</li>
<li>Executing: ALTER TABLE wp_testimonials ADD `storder`   integer NOT NULL ; | (no parameters)</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: SQLSTATE[HY000]: General error: 1 duplicate column name: storder.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php(143): WP_SQLite_DB->query('ALTER TABLE wp_...')
#2 /wordpress/wp-includes/class-wp-hook.php(324): sfstst_install(false)
#3 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#4 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#5 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-tes...', false)
#6 /internal/eval.php(20): activate_plugin('wp-testimonials...')
#7 {main}</pre>
 for query ALTER TABLE wp_testimonials ADD `storder` INT( 5 ) NOT NULL ; made by activate_plugin, do_action('activate_wp-testimonials/wp-testimonials.php'), WP_Hook->do_action, WP_Hook->apply_filters, sfstst_install, WP_SQLite_DB->query, WP_SQLite_DB->print_error
[12-Apr-2025 05:35:31 UTC] WordPress database error <div style="clear:both">&nbsp;</div>
<div class="queries" style="clear:both;margin-bottom:2px;border:red dotted thin;">
<p>MySQL query:</p>
<p>INSERT INTO wp_options(option_name, option_value) VALUES ('sfs_admng', 'update_plugins'),('sfs_setlimit', '1'),('sfs_sorder', 'testid DESC')</p>
<p>Queries made or created this session were:</p>
<ol>
<li>Executing: BEGIN | (no parameters)</li>
<li>Executing: INSERT INTO wp_options(option_name, option_value) VALUES (:param0 , :param1 ),(:param2 , :param3 ),(:param4 , :param5 ) | parameters: sfs_admng, update_plugins, sfs_setlimit, 1, sfs_sorder, testid DESC</li>
<li>Executing: ROLLBACK | (no parameters)</li>
</ol>
</div>
<div style="clear:both;margin-bottom:2px;border:red dotted thin;" class="error_message" style="border-bottom:dotted blue thin;">
Error occurred at line 4117 in Function <code>handle_error</code>. Error message was: SQLSTATE[23000]: Integrity constraint violation: 19 UNIQUE constraint failed: wp_options.option_name.
</div>
<p>Backtrace:</p>
<pre>#0 /internal/shared/sqlite-database-integration/wp-includes/sqlite/class-wp-sqlite-db.php(287): WP_SQLite_Translator->get_error_message()
#1 /wordpress/wp-content/plugins/wp-testimonials/wp-testimonials.php(152): WP_SQLite_DB->query('INSERT INTO wp_...')
#2 /wordpress/wp-includes/class-wp-hook.php(324): sfstst_install(false)
#3 /wordpress/wp-includes/class-wp-hook.php(348): WP_Hook->apply_filters('', Array)
#4 /wordpress/wp-includes/plugin.php(517): WP_Hook->do_action(Array)
#5 /wordpress/wp-admin/includes/plugin.php(703): do_action('activate_wp-tes...', false)
#6 /internal/eval.php(20): activate_plugin('wp-testimonials...')
#7 {main}</pre>
 for query INSERT INTO wp_options(option_name, option_value) VALUES 
