file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325
        throw new Error($, { cause: h });
              ^

Error: [26-Jun-2025 14:27:55 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $obj_array in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1140
[26-Jun-2025 14:32:09 UTC] PHP Warning:  Undefined property: stdClass::$order in /wordpress/wp-content/mu-plugins/must-use-plugins-handle/functions/loadMustUsePlugins.php on line 119
[26-Jun-2025 14:32:09 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $obj_array in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1140
[26-Jun-2025 14:32:09 UTC] PHP Deprecated:  Required parameter $source_id follows optional parameter $post_id in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1462
[26-Jun-2025 14:32:09 UTC] PHP Deprecated:  Required parameter $file_id follows optional parameter $post_id in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1462
[26-Jun-2025 14:32:09 UTC] PHP Warning:  foreach() argument must be of type array|object, null given in /wordpress/wp-content/plugins/multisite-post-duplicator/mpd.php on line 104
[26-Jun-2025 14:32:11 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $obj_array in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1140
[26-Jun-2025 14:32:11 UTC] PHP Deprecated:  Required parameter $source_id follows optional parameter $post_id in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1462
[26-Jun-2025 14:32:11 UTC] PHP Deprecated:  Required parameter $file_id follows optional parameter $post_id in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1462
[26-Jun-2025 14:32:11 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multisite-post-duplicator/addons/restrictSites-mpd-addon.php on line 325
[26-Jun-2025 14:32:11 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in /wordpress/wp-content/mu-plugins/must-use-plugins-handle/functions/loadMustUsePlugins.php on line 80
[26-Jun-2025 14:32:11 UTC] PHP Warning:  Undefined property: stdClass::$order in /wordpress/wp-content/mu-plugins/must-use-plugins-handle/functions/loadMustUsePlugins.php on line 119
[26-Jun-2025 14:32:13 UTC] PHP Deprecated:  Required parameter $key follows optional parameter $obj_array in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1140
[26-Jun-2025 14:32:13 UTC] PHP Deprecated:  Required parameter $source_id follows optional parameter $post_id in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1462
[26-Jun-2025 14:32:13 UTC] PHP Deprecated:  Required parameter $file_id follows optional parameter $post_id in /wordpress/wp-content/plugins/multisite-post-duplicator/inc/mpd-functions.php on line 1462
[26-Jun-2025 14:32:13 UTC] PHP Warning:  Trying to access array offset on value of type bool in /wordpress/wp-content/plugins/multisite-post-duplicator/addons/restrictSites-mpd-addon.php on line 325
[26-Jun-2025 14:32:13 UTC] PHP Notice:  session_start(): Ignoring session_start() because a session is already active in /wordpress/wp-content/mu-plugins/must-use-plugins-handle/functions/loadMustUsePlugins.php on line 80
[26-Jun-2025 14:32:13 UTC] PHP Warning:  Undefined property: stdClass::$order in /wordpress/wp-content/mu-plugins/must-use-plugins-handle/functions/loadMustUsePlugins.php on line 119
[26-Jun-2025 14:32:13 UTC] PHP Parse error:  syntax error, unexpected token "&", expecting ")" in /wordpress/wp-content/plugins/mcboards/mcboards.php on line 226

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:325:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
  [cause]: Error: Error when executing the blueprint step #1 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"mcboards"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12093:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
      at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
      at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:1034:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:34:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:631:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12161:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12090:23)
        at async ys (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12196:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:315:48)
        at async re (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/run-cli-j-geJYS3.js:149:10) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-b
