file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [21-May-2025 03:36:56 UTC] PHP Warning:  Undefined variable $pagenow in /wordpress/wp-content/plugins/transmit-sms-two-factor-authentication/transmitsms.php on line 321
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "comment-reply-link" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "comment-permalink" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "comment-count" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "category-group-posts" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-title-link" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-title" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-author-link" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-author" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-terms" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-comments-link" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-published" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-edit-link" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-shortlink" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-url" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-date" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-cats" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-tags" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-views" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "page-nav" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "the-year" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "site-link" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "site-login-link" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "query-counter" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "nav-menu" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "breadcrumbs" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "child-pages" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "sibling-pages" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "list-pages" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "bloginfo" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "popular-posts" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "plus" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "like" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "tweet" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "tweetmeme" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "twitter" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "odesk" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "gravatar" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "w3c-valid" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "latex" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "plugin-downloads" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "plugin-rating" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "plugin-compatible" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "plugin-last-updated" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "plugin-list" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "plugin-required-version" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "plugin-download-link" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "wp" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "github-projects" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "github-issues" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "gist" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "jsfiddle" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "gtmetrix" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "pagespeed" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "yslow" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "stylesheetdirectory" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 97
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "plus" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 105
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "like" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 105
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "adsense" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 105
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "map" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 105
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "tweet" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 105
[21-May-2025 03:39:04 UTC] PHP Warning:  Undefined array key "post-views" in /wordpress/wp-content/plugins/theme-shortcodes/theme-shortcodes.php on line 113
[21-May-2025 03:41:33 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>timeline-express</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[21-May-2025 03:41:33 UTC] PHP Deprecated:  Required parameter $field_id follows optional parameter $type in /wordpress/wp-content/plugins/timeline-express/lib/admin/CMB2/includes/rest-api/CMB2_REST.php on line 693
[21-May-2025 03:41:42 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>timeline-express</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[21-May-2025 03:41:42 UTC] PHP Deprecated:  Required parameter $field_id follows optional parameter $type in /wordpress/wp-content/plugins/timeline-express/lib/admin/CMB2/includes/rest-api/CMB2_REST.php on line 693
[21-May-2025 03:41:52 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>timeline-express</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[21-May-2025 03:41:52 UTC] PHP Deprecated:  Required parameter $field_id follows optional parameter $type in /wordpress/wp-content/plugins/timeline-express/lib/admin/CMB2/includes/rest-api/CMB2_REST.php on line 693
[21-May-2025 03:43:39 UTC] PHP Warning:  The magic method TwitchPress_UM::__wakeup() must have public visibility in /wordpress/wp-content/plugins/twitchpress-um-extension/twitchpress-um-extension.php on line 78
[21-May-2025 03:43:39 UTC] PHP Warning:  The magic method TwitchPress_UM::__wakeup() must have public visibility in /wordpress/wp-content/plugins/twitchpress-um-extension/twitchpress-um-extension.php on line 78
[21-May-2025 03:43:47 UTC] PHP Warning:  The magic method TwitchPress_UM::__wakeup() must have public visibility in /wordpress/wp-content/plugins/twitchpress-um-extension/twitchpress-um-extension.php on line 78
[21-May-2025 03:43:48 UTC] PHP Warning:  The magic method TwitchPress_UM::__wakeup() must have public visibility in /wordpress/wp-content/plugins/twitchpress-um-extension/twitchpress-um-extension.php on line 78
[21-May-2025 03:43:55 UTC] PHP Warning:  The magic method TwitchPress_UM::__wakeup() must have public visibility in /wordpress/wp-content/plugins/twitchpress-um-extension/twitchpress-um-extension.php on line 78
[21-May-2025 03:43:56 UTC] PHP Warning:  The magic method TwitchPress_UM::__wakeup() must have public visibility in /wordpress/wp-content/plugins/twitchpress-um-extension/twitchpress-um-extension.php on line 78
[21-May-2025 03:45:39 UTC] PHP Fatal error:  Uncaught TypeError: implode(): Argument #2 ($array) must be of type ?array, string given in /wordpress/wp-content/plugins/the-wp-tracker/vendor/catfan/medoo/src/Medoo.php:292
Stack trace:
#0 /wordpress/wp-content/plugins/the-wp-tracker/vendor/catfan/medoo/src/Medoo.php(292): implode(Array, ';')
#1 /wordpress/wp-content/plugins/the-wp-tracker/core/Framework/Database/Database.php(72): Medoo\Medoo->__construct(Array)
#2 /wordpress/wp-content/plugins/the-wp-tracker/core/Framework/Database/Database.php(13): WpTracker\Framework\Database\Database->addConnection()
#3 /wordpress/wp-content/plugins/the-wp-tracker/vendor/petrknap/php-singleton/src/Singleton/SingletonTrait.php(31): WpTracker\Framework\Database\Database->__construct()
#4 /wordpress/wp-content/plugins/the-wp-tracker/core/Plugin.php(19): WpTracker\Framework\Database\Database::getInstance()
#5 /wordpress/wp-content/plugins/the-wp-tracker/vendor/petrknap/php-singleton/src/Singleton/SingletonTrait.php(31): WpTracker\Plugin->__construct()
#6 /wordpress/wp-content/plugins/the-wp-tracker/index.php(33): WpTracker\Plugin::getInstance()
#7 /wordpress/wp-admin/includes/plugin.php(2387): include_once('/wordpress/wp-c...')
#8 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('the-wp-tracker/...')
#9 /internal/eval.php(20): activate_plugin('the-wp-tracker/...')
#10 {main}
  thrown in /wordpress/wp-content/plugins/the-wp-tracker/vendor/catfan/medoo/src/Medoo.php on line 292

    at Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237:15)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
    at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
  [cause]: Error: Error when executing the blueprint step #5 ({"step":"installPlugin","pluginData":{"resource":"wordpress.org/plugins","slug":"the-wp-tracker"},"options":{"activate":true}}) : PHP.run() failed with exit code 255 and the following output: 
      at Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12449:19)
      at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
      at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
      ... 2 lines matching cause stack trace ...
      at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
    [cause]: PHPExecutionFailureError: PHP.run() failed with exit code 255 and the following output: 
        at PHP.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@php-wasm/universal/index.js:987:19)
        at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
        at async wr (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:33:39)
        at async Object.gt [as installPlugin] (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:974:42)
        at async g (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12517:30)
        at async Object.run (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12446:23)
        at async ms (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/blueprints/index.js:12552:3)
        at async Object.onBind (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:227:48)
        at async V (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:64:10)
        at async ja (file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/cli.js:8161:12) {
      response: PHPResponse {
        httpStatusCode: 500,
        headers: {
          'x-powered-by': [ 'PHP/8.0.30-dev' ],
          'content-type': [ 'text/html; charset=UTF-8' ]
        },
        bytes: Uint8Array(0) [],
        exitCode: 255,
        errors: ''
      },
      source: 'request'
    }
  }
}

Node.js v23.11.0
