file:///home/runner/work/playground-tester/playground-tester/node_modules/@wp-playground/cli/index.js:237
        throw new Error(y, { cause: u });
              ^

Error: [02-May-2025 10:30:09 UTC] PHP Warning:  Undefined array key "DOCUMENT_ROOT" in /wordpress/wp-content/plugins/social-features-for-wp/social-monster.php on line 1271
[02-May-2025 10:37:07 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:12 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:12 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:13 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:14 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:16 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:16 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:17 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:17 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:22 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:22 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:24 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:24 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:26 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:26 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:26 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:26 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:26 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:28 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:28 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:28 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:28 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:28 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:32 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:32 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:32 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:32 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:32 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:34 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:34 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:34 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:34 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:34 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:36 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:36 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:36 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:36 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:36 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:37 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:37 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:37 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:37 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:37 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:41 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:41 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:41 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:41 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:42 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:43 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:43 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:43 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:43 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:43 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:45 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:45 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:45 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:45 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:45 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:46 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:47 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:47 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:47 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:47 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:52 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:52 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:52 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:52 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:52 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:53 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:53 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:53 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:53 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:53 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:56 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:56 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:37:56 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:37:56 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:37:56 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:37:56 UTC] PHP Fatal error:  Uncaught Error: Call to undefined function create_function() in /wordpress/wp-content/plugins/seopilotpl-dla-wordpress/spdwp.php:374
Stack trace:
#0 /wordpress/wp-admin/includes/plugin.php(2387): include_once()
#1 /wordpress/wp-admin/includes/plugin.php(673): plugin_sandbox_scrape('seopilotpl-dla-...')
#2 /internal/eval.php(20): activate_plugin('seopilotpl-dla-...')
#3 {main}
  thrown in /wordpress/wp-content/plugins/seopilotpl-dla-wordpress/spdwp.php on line 374
[02-May-2025 10:38:01 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:38:01 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:38:01 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:38:01 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:38:01 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:38:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>s2member</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
[02-May-2025 10:38:03 UTC] PHP Deprecated:  Required parameter $page_name follows optional parameter $order_array in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 234
[02-May-2025 10:38:03 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 621
[02-May-2025 10:38:03 UTC] PHP Deprecated:  Required parameter $container_element follows optional parameter $field_attributes in /wordpress/wp-content/plugins/search-my-theme/lib/tom-m8te.php on line 774
[02-May-2025 10:38:03 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>scheduled-post-delete</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in /wordpress/wp-includes/functions.php on line 6121
